"1","http://tut.by","200","20","TUT.BY","NULL"
"2","http://tut.by","200","300","NULL","tutby.png"
"3","http://onliner.by","50","45","ONLINER.BY","NULL"
"4","http://onliner.by","50","1","NULL","onlinerby.jpg"
"5","http://google.by","10","10","GOOGLE.BY","googleby.png"
"6","http://google.com","1","1","NULL","googlecom.png"
"7","http://habrahabr.ru","999","997","NULL","habrahabrru.png"
"8","http://habrahabr.ru","50","49","HABRAHABR.RU","NULL"
"9","http://gismeteo.by","0","0","Погода","NULL"
"10","http://gismeteo.ru","0","0","Погода","NULL"
